user_id,book_id,book_title,rating
Michael Finocchiaro,7604,Lolita,5
Vit Babenco,7604,Lolita,5
Luca Ambrosino,7604,Lolita,4
Leonard Gaya,7604,Lolita,4
Glenn Russell,7604,Lolita,5
Melissa Rudder,1953,A Tale of Two Cities,5
Mario the lone bookwolf,1953,A Tale of Two Cities,4
Bionic Jean,1953,A Tale of Two Cities,5
Sean Barrs,1953,A Tale of Two Cities,3
Lisa of Troy,1953,A Tale of Two Cities,1
Taufiq Yves,1953,A Tale of Two Cities,5
Valeriu Gherghel,1953,A Tale of Two Cities,3
Paul Weiss,1953,A Tale of Two Cities,5
Always Pouting,1953,A Tale of Two Cities,3
Sean Barrs,4981,Slaughterhouse-Five,5
Vit Babenco,4981,Slaughterhouse-Five,5
Leonard Gaya,4981,Slaughterhouse-Five,4
jessica yeung,4981,Slaughterhouse-Five,3
Henry Avila,4981,Slaughterhouse-Five,4
Lala BooksandLala,4981,Slaughterhouse-Five,4
Taufiq Yves,4981,Slaughterhouse-Five,5
Petra X,6514,The Bell Jar,3
Tracy Elizabeth,6514,The Bell Jar,1
Lisa of Troy,6514,The Bell Jar,5
Melissa KT,6514,The Bell Jar,2
Sophia Judice,6514,The Bell Jar,4
Miranda Reads,39988,Matilda,4
Sean Barrs,39988,Matilda,4
Grace Tjan,39988,Matilda,5
Carolyn Marie,39988,Matilda,4
Luffy Sempai,39988,Matilda,5
Elyse Walters,39988,Matilda,5
Julie G,39988,Matilda,4
Whitney Atkinson,39988,Matilda,4
Jason Koivu,39988,Matilda,4
Britney Meyers,39988,Matilda,4
Peter Topside,39988,Matilda,5
Samra Yusuf,39988,Matilda,4
Will Byrnes,43641,Water for Elephants,4
RJ McGill,43641,Water for Elephants,5
Beth F,43641,Water for Elephants,4
Taufiq Yves,43641,Water for Elephants,4
Tina Loves To Read,43641,Water for Elephants,4
Kat Kennedy,43641,Water for Elephants,5
Paul Weiss,43641,Water for Elephants,5
Kristina Horner,43641,Water for Elephants,5
Izetta Autumn,43641,Water for Elephants,4
Mark Lawrence,42844155,Harry Potter and the Philosopher's Stone,3
Miranda Reads,42844155,Harry Potter and the Philosopher's Stone,5
Lisa of Troy,42844155,Harry Potter and the Philosopher's Stone,5
Sasha Alsberg,42844155,Harry Potter and the Philosopher's Stone,5
Victoria Schwab,42844155,Harry Potter and the Philosopher's Stone,5
Cindy Pham,42844155,Harry Potter and the Philosopher's Stone,3
Chelsea Humphrey,42844155,Harry Potter and the Philosopher's Stone,5
Harold Bloom,42844155,Harry Potter and the Philosopher's Stone,1
Mohammed Arabey,42844155,Harry Potter and the Philosopher's Stone,5
Wil Wheaton,42844155,Harry Potter and the Philosopher's Stone,5
Luca Ambrosino,42844155,Harry Potter and the Philosopher's Stone,5
jessica yeung,42844155,Harry Potter and the Philosopher's Stone,5
Justin Tate,149267,The Stand,5
Mark Lawrence,149267,The Stand,5
Nilufer Ozmekik,149267,The Stand,5
Chelsea Humphrey,149267,The Stand,4
jessica yeung,149267,The Stand,3
Mario the lone bookwolf,149267,The Stand,5
Jeffrey Keeten,149267,The Stand,4
Mohammed Arabey,149267,The Stand,5
Alex is The Romance Fox,149267,The Stand,5
Court Zierk,149267,The Stand,5
Jeffrey Keeten,168668,Catch-22,5
Michael Finocchiaro,168668,Catch-22,4
Lisa of Troy,168668,Catch-22,1
Barry Pierce,168668,Catch-22,5
Vit Babenco,168668,Catch-22,5
Tom Quinn,168668,Catch-22,5
Leonard Gaya,168668,Catch-22,4
Henry Avila,168668,Catch-22,5
Jon Nakapalau,168668,Catch-22,5
Nandakishore Mridula,168668,Catch-22,5
David Putnam,168668,Catch-22,3
Steven Godin,168668,Catch-22,5
Lisa of Troy,3590,The Adventures of Sherlock Holmes,5
Federico DN,3590,The Adventures of Sherlock Holmes,3
Robin Hobb,3590,The Adventures of Sherlock Holmes,5
El Librero de Valentina,3590,The Adventures of Sherlock Holmes,4
Bionic Jean,3590,The Adventures of Sherlock Holmes,4
Katie Lumsden,3590,The Adventures of Sherlock Holmes,4
Steven Medina,3590,The Adventures of Sherlock Holmes,4
Paul Bryant,3590,The Adventures of Sherlock Holmes,5
Simona B,3590,The Adventures of Sherlock Holmes,4
Cindy Rollins,3590,The Adventures of Sherlock Holmes,5
Mario the lone bookwolf,41817486,A Clockwork Orange,4
Paul Bryant,41817486,A Clockwork Orange,5
Vit Babenco,41817486,A Clockwork Orange,5
Henry Avila,41817486,A Clockwork Orange,4
Lisa of Troy,41817486,A Clockwork Orange,3
Sean Barrs,41817486,A Clockwork Orange,3
Michael Finocchiaro,41817486,A Clockwork Orange,5
