user_id,book_id,book_title,rating
Federico DN,2767052,The Hunger Games,5
Miranda Reads,2767052,The Hunger Games,4
Hannah Azerang,2767052,The Hunger Games,5
Larissa Cambusano,2767052,The Hunger Games,4
Lisa of Troy,2767052,The Hunger Games,5
Emily May,2767052,The Hunger Games,4
Meredith Holley,2767052,The Hunger Games,5
jessica yeung,2767052,The Hunger Games,5
Morgan F,2767052,The Hunger Games,5
Colleen AF,2767052,The Hunger Games,4
Tharindu Dissanayake,1885,Pride and Prejudice,5
Miranda Reads,1885,Pride and Prejudice,5
Nika Kutsniashvili,1885,Pride and Prejudice,1
Rachel Catherine,1885,Pride and Prejudice,5
Richard Derus,1885,Pride and Prejudice,4
Mario the lone bookwolf,1885,Pride and Prejudice,5
Nilufer Ozmekik,1885,Pride and Prejudice,5
Sean Barrs,1885,Pride and Prejudice,5
Lisa of Troy,1885,Pride and Prejudice,1
Katie Lumsden,1885,Pride and Prejudice,5
Miranda Reads,2657,To Kill a Mockingbird,5
Lisa of Troy,2657,To Kill a Mockingbird,5
Eddy Allen,2657,To Kill a Mockingbird,1
Petra X,2657,To Kill a Mockingbird,5
Taufiq Yves,2657,To Kill a Mockingbird,5
Henry Avila,2657,To Kill a Mockingbird,5
Sean Barrs,2657,To Kill a Mockingbird,5
Mario the lone bookwolf,2657,To Kill a Mockingbird,5
Tim Null,2657,To Kill a Mockingbird,5
Luca Ambrosino,2657,To Kill a Mockingbird,5
Colin Baldwin,2657,To Kill a Mockingbird,5
Hannah Azerang,58613451,Harry Potter and the Order of the Phoenix,5
Sasha Alsberg,58613451,Harry Potter and the Order of the Phoenix,5
Tharindu Dissanayake,58613451,Harry Potter and the Order of the Phoenix,5
Sean Barrs,58613451,Harry Potter and the Order of the Phoenix,5
Natasha Polis,58613451,Harry Potter and the Order of the Phoenix,5
Nilufer Ozmekik,58613451,Harry Potter and the Order of the Phoenix,5
Miranda Reads,58613451,Harry Potter and the Order of the Phoenix,5
Luca Ambrosino,58613451,Harry Potter and the Order of the Phoenix,5
Chelsea Humphrey,58613451,Harry Potter and the Order of the Phoenix,4
Kat Kennedy,19063,The Book Thief,4
Will Byrnes,19063,The Book Thief,5
Miranda Reads,19063,The Book Thief,4
Emily May,19063,The Book Thief,3
Sean Barrs,19063,The Book Thief,5
Federico DN,19063,The Book Thief,5
Lisa of Troy,19063,The Book Thief,3
Tharindu Dissanayake,19063,The Book Thief,5
jessica yeung,19063,The Book Thief,5
Ali Goodwin,19063,The Book Thief,3
Whitney Atkinson,19063,The Book Thief,5
Kylie D,19063,The Book Thief,5
Steph Sinclair,41865,Twilight,1
Clare Richardson,41865,Twilight,1
Miranda Reads,41865,Twilight,5
Jared Vincent Lacaran,41865,Twilight,1
Sara Carrolli,41865,Twilight,3
Ali Goodwin,41865,Twilight,3
jessica yeung,41865,Twilight,5
Ali L,41865,Twilight,2
Jessica Edwards,41865,Twilight,5
Mohammed Arabey,170448,Animal Farm,5
Petra X,170448,Animal Farm,5
Lisa of Troy,170448,Animal Farm,5
Sidrah Anum,170448,Animal Farm,5
Federico DN,170448,Animal Farm,5
Bionic Jean,170448,Animal Farm,5
Sean Barrs,170448,Animal Farm,2
Mohammed Ali,170448,Animal Farm,5
Mario the lone bookwolf,170448,Animal Farm,4
Richard Alex Jenkins,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,5
Preetam Chatterjee,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,5
Federico DN,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4
Ebster Davis,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,5
Pete daPixie,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,5
Riju Ganguly,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,5
Talina Jacobsen,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,3
Darcy Rowe,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,5
AJ Griffin,11127,The Chronicles of Narnia,4
Charlotte May,11127,The Chronicles of Narnia,5
Kat Kennedy,11127,The Chronicles of Narnia,5
Nandakishore Mridula,11127,The Chronicles of Narnia,3
Michael Finocchiaro,11127,The Chronicles of Narnia,4
Christian Guzman,11127,The Chronicles of Narnia,3
Joshua Gabriel,11127,The Chronicles of Narnia,5
Alexandra Elend Wolf,11127,The Chronicles of Narnia,5
Dean Ryan Martin,11127,The Chronicles of Narnia,3
Sophie Crane,11127,The Chronicles of Narnia,5
Emily May,11870085,The Fault in Our Stars,2
Federico DN,11870085,The Fault in Our Stars,5
Lisa of Troy,11870085,The Fault in Our Stars,3
Miranda Reads,11870085,The Fault in Our Stars,4
Jim Fonseca,11870085,The Fault in Our Stars,5
Mohammed Arabey,11870085,The Fault in Our Stars,4
jessica yeung,11870085,The Fault in Our Stars,5
Sandee is Reading,11870085,The Fault in Our Stars,5
Sean Barrs,11870085,The Fault in Our Stars,5
Sean Barrs,5297,The Picture of Dorian Gray,5
Emily May,5297,The Picture of Dorian Gray,5
Ruby Granger,5297,The Picture of Dorian Gray,5
not my high,5297,The Picture of Dorian Gray,5
